name,quantity,region,service_id,sku,product_description,"unit_price, USD","total_price, USD"
f1-micro,730,asia-southeast1,6F81-5844-456A,Look up for SKU https://cloud.google.com/skus/?currency=USD&filter=6F81-5844-456A,CP-COMPUTEENGINE-VMIMAGE-F1-MICRO,0.0092,6.716
Standard Storage Singapore,1,asia-southeast1,95FF-2EF5-5EA1,76BA-5CAD-4338,CP-BIGSTORE-STANDARD,0.02,0.02
Multi-Region Standard Class A Operations,1000000,asia-southeast1,95FF-2EF5-5EA1,9ADA-9AED-1B24,CP-BIGSTORE-STANDARD,0.005,5
g1-small,730,asia-southeast1,6F81-5844-456A,Look up for SKU https://cloud.google.com/skus/?currency=USD&filter=6F81-5844-456A,CP-COMPUTEENGINE-VMIMAGE-G1-SMALL,0.021769999999999998,15.8921
Storage PD Capacity in Singapore,20,asia-southeast1,6F81-5844-456A,0572-568A-4FC4,CP-COMPUTEENGINE-STORAGE-PD-READONLY,0.044,0.8799999999999999
,,,,,,,
,,,,,,Total Price:,28.5081
,,,,,,,
"Prices are in US dollars, effective date is 2022-05-21T07:57:54.248Z.",,,,,,,
,,,,,,,
"The estimated fees provided by Google Cloud Pricing Calculator are for
  discussion purposes only and are not binding on either you or Google.
  Your actual fees may be higher or lower than the estimate.",,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/products/calculator/#id=3ad83091-fb81-457d-8792-333e73cad831,,,,,,
